,GC001,,,GC007,,,10Y国债收益(CGBB),,,1Y国债收益(CGBB),,,3Y国债收益(CGBB),,,5Y国债收益(CGBB),,,7Y国债收益(CGBB),,,FR001,,,FR007,,,IBO001,,,IBO007,,,1年期贷款基础利率,,,银买断1日,,,银买断7日,,,银质押1日,,,银质押7日,,,SHIBOR1周,,,SHIBOR隔夜
,204001.SH,,,204007.SH,,,CGB10Y.WI,,,CGB1Y.WI,,,CGB3Y.WI,,,CGB5Y.WI,,,CGB7Y.WI,,,FR001.IR,,,FR007.IR,,,IBO001.IB,,,IBO007.IB,,,LPR1Y.IR,,,OR001.IB,,,OR007.IB,,,R001.IB,,,R007.IB,,,SHIBOR1W.IR,,,SHIBORON.IR
日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价
Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close
2015-01-05,3.675,,2015-01-05,3.055,,2015-01-05,3.659,,2015-01-05,3.164,,2015-01-05,3.368,,2015-01-05,3.584,,2015-01-05,3.589,,2015-01-05,3.3,,2015-01-05,4.49,,2015-01-05,3.15,,2015-01-05,4.5,,2015-01-05,5.51,,2015-01-05,2.182,,2015-01-05,3.898,,2015-01-05,3.21,,2015-01-05,4.33,,2015-01-05,4.725,,2015-01-05,3.421
2015-01-06,0.57,,2015-01-06,3.3,,2015-01-06,3.643,,2015-01-06,3.229,,2015-01-06,3.354,,2015-01-06,3.572,,2015-01-06,3.603,,2015-01-06,3.03,,2015-01-06,4.06,,2015-01-06,3.23,,2015-01-06,4.4,,2015-01-06,5.51,,2015-01-06,2.401,,2015-01-06,4.401,,2015-01-06,2.98,,2015-01-06,3.93,,2015-01-06,4.241,,2015-01-06,3.032
2015-01-07,0.485,,2015-01-07,3.23,,2015-01-07,3.642,,2015-01-07,3.13,,2015-01-07,3.312,,2015-01-07,3.57,,2015-01-07,3.604,,2015-01-07,2.93,,2015-01-07,3.87,,2015-01-07,2.86,,2015-01-07,4.2,,2015-01-07,5.51,,2015-01-07,3.005,,2015-01-07,4.049,,2015-01-07,2.88,,2015-01-07,3.86,,2015-01-07,3.873,,2015-01-07,2.881
2015-01-08,0.605,,2015-01-08,3.27,,2015-01-08,3.646,,2015-01-08,3.262,,2015-01-08,3.301,,2015-01-08,3.574,,2015-01-08,3.597,,2015-01-08,2.88,,2015-01-08,3.74,,2015-01-08,2.86,,2015-01-08,3.75,,2015-01-08,5.51,,2015-01-08,3.6,,2015-01-08,3.943,,2015-01-08,2.81,,2015-01-08,3.74,,2015-01-08,3.745,,2015-01-08,2.83
2015-01-09,0.535,,2015-01-09,4.705,,2015-01-09,3.455,,2015-01-09,3.255,,2015-01-09,3.342,,2015-01-09,3.65,,2015-01-09,3.683,,2015-01-09,2.83,,2015-01-09,3.8,,2015-01-09,2.76,,2015-01-09,3.738,,2015-01-09,5.51,,2015-01-09,3.28,,2015-01-09,4.722,,2015-01-09,2.75,,2015-01-09,3.755,,2015-01-09,3.738,,2015-01-09,2.805
2015-01-12,0.545,,2015-01-12,4.995,,2015-01-12,3.659,,2015-01-12,3.173,,2015-01-12,3.29,,2015-01-12,3.597,,2015-01-12,3.588,,2015-01-12,2.76,,2015-01-12,3.82,,2015-01-12,2.753,,2015-01-12,3.98,,2015-01-12,5.51,,2015-01-12,2.2,,2015-01-12,4.298,,2015-01-12,2.72,,2015-01-12,3.81,,2015-01-12,3.762,,2015-01-12,2.753
2015-01-13,1.18,,2015-01-13,3.99,,2015-01-13,3.595,,2015-01-13,3.116,,2015-01-13,3.276,,2015-01-13,3.526,,2015-01-13,3.554,,2015-01-13,2.73,,2015-01-13,3.84,,2015-01-13,2.66,,2015-01-13,3.94,,2015-01-13,5.51,,2015-01-13,2.665,,2015-01-13,4.298,,2015-01-13,2.64,,2015-01-13,3.85,,2015-01-13,3.73,,2015-01-13,2.667
2015-01-14,3.02,,2015-01-14,3.135,,2015-01-14,3.537,,2015-01-14,3.18,,2015-01-14,3.229,,2015-01-14,3.503,,2015-01-14,3.52,,2015-01-14,2.71,,2015-01-14,3.9,,2015-01-14,2.75,,2015-01-14,3.8,,2015-01-14,5.51,,2015-01-14,2.993,,2015-01-14,4.199,,2015-01-14,2.62,,2015-01-14,3.85,,2015-01-14,3.837,,2015-01-14,2.636
2015-01-15,8.075,,2015-01-15,4.005,,2015-01-15,3.523,,2015-01-15,3.194,,2015-01-15,3.291,,2015-01-15,3.543,,2015-01-15,3.494,,2015-01-15,2.7,,2015-01-15,3.84,,2015-01-15,2.62,,2015-01-15,3.94,,2015-01-15,5.51,,2015-01-15,2.893,,2015-01-15,4.347,,2015-01-15,2.62,,2015-01-15,3.2,,2015-01-15,3.843,,2015-01-15,2.631
2015-01-16,3.99,,2015-01-16,3.015,,2015-01-16,3.511,,2015-01-16,3.188,,2015-01-16,3.298,,2015-01-16,3.423,,2015-01-16,3.445,,2015-01-16,2.71,,2015-01-16,3.94,,2015-01-16,2.633,,2015-01-16,3.948,,2015-01-16,5.51,,2015-01-16,2.994,,2015-01-16,4.502,,2015-01-16,2.62,,2015-01-16,3.88,,2015-01-16,3.848,,2015-01-16,2.633
2015-01-19,1.05,,2015-01-19,3.56,,2015-01-19,3.461,,2015-01-19,3.19,,2015-01-19,3.257,,2015-01-19,3.441,,2015-01-19,3.465,,2015-01-19,2.7,,2015-01-19,3.75,,2015-01-19,3,,2015-01-19,4,,2015-01-19,5.51,,2015-01-19,3.168,,2015-01-19,4.32,,2015-01-19,2.67,,2015-01-19,4,,2015-01-19,3.831,,2015-01-19,2.66
2015-01-20,1.175,,2015-01-20,2.885,,2015-01-20,3.455,,2015-01-20,3.179,,2015-01-20,3.33,,2015-01-20,3.37,,2015-01-20,3.522,,2015-01-20,2.89,,2015-01-20,3.73,,2015-01-20,2.8,,2015-01-20,4.3,,2015-01-20,5.51,,2015-01-20,3.486,,2015-01-20,5.988,,2015-01-20,2.78,,2015-01-20,5,,2015-01-20,3.782,,2015-01-20,2.707
2015-01-21,1.125,,2015-01-21,2.945,,2015-01-21,3.473,,2015-01-21,3.167,,2015-01-21,3.263,,2015-01-21,3.446,,2015-01-21,3.436,,2015-01-21,3,,2015-01-21,4,,2015-01-21,3,,2015-01-21,5,,2015-01-21,5.51,,2015-01-21,2.417,,2015-01-21,6.007,,2015-01-21,2.35,,2015-01-21,3.5,,2015-01-21,3.823,,2015-01-21,2.788
2015-01-22,1.615,,2015-01-22,2.99,,2015-01-22,3.437,,2015-01-22,2.957,,2015-01-22,3.279,,2015-01-22,3.422,,2015-01-22,3.442,,2015-01-22,2.9,,2015-01-22,4.15,,2015-01-22,2.8,,2015-01-22,4.1,,2015-01-22,5.51,,2015-01-22,2.263,,2015-01-22,4.179,,2015-01-22,2.75,,2015-01-22,4.38,,2015-01-22,3.875,,2015-01-22,2.771
2015-01-23,1.805,,2015-01-23,2.67,,2015-01-23,3.446,,2015-01-23,3.119,,2015-01-23,3.2,,2015-01-23,3.411,,2015-01-23,3.44,,2015-01-23,2.78,,2015-01-23,3.92,,2015-01-23,2.78,,2015-01-23,2.75,,2015-01-23,5.51,,2015-01-23,4.006,,2015-01-23,4.698,,2015-01-23,2.68,,2015-01-23,3.91,,2015-01-23,4.028,,2015-01-23,2.728
2015-01-26,1.725,,2015-01-26,3.53,,2015-01-26,3.452,,2015-01-26,3.007,,2015-01-26,3.19,,2015-01-26,3.389,,2015-01-26,3.403,,2015-01-26,2.78,,2015-01-26,3.9,,2015-01-26,2.9,,2015-01-26,3.93,,2015-01-26,5.51,,2015-01-26,2.957,,2015-01-26,4.1,,2015-01-26,2.67,,2015-01-26,3.89,,2015-01-26,3.92,,2015-01-26,2.688
2015-01-27,1.265,,2015-01-27,2.7,,2015-01-27,3.421,,2015-01-27,3.164,,2015-01-27,3.193,,2015-01-27,3.404,,2015-01-27,3.432,,2015-01-27,2.8,,2015-01-27,3.9,,2015-01-27,2.73,,2015-01-27,4,,2015-01-27,5.51,,2015-01-27,3.708,,2015-01-27,3.111,,2015-01-27,2.69,,2015-01-27,4.3,,2015-01-27,3.89,,2015-01-27,2.674
